product_id,product,mail_class,fy,revenue,attributable_cost,volume_variable_cost,product_specific_cost,rev_pc,attributable_cost_pc,cont_pc,cost_coverage,volume,weight,weight_pc
51,Certified Mail,Special Services,2008,717.822287,602.5717020915571,602.510702091557,0.061,2.66930694128929,2.2407340314546342,0.42857290983465557,1.1912645159213455,268917.102,,
52,COD,Special Services,2008,8.135548,6.834863164881526,6.834863164881526,0,7.043605944801242,5.917497238054836,1.1261087067464057,1.1903015179296599,1155.026,,
54,Insurance,Special Services,2008,144.581632,143.85510000483438,143.84310000483438,0.012,2.8022291987513572,2.7881478168875797,0.014081381863777498,1.0050504430857243,51595.22,,
55,Registered Mail,Special Services,2008,56.883488,57.739828521379835,57.73882852137984,0.001,14.73210552596193,14.95388691403583,-0.22178138807390013,0.9851689805233358,3861.192,,
56,Stamped Envelopes,Special Services,2008,23.420650000000002,10.044811055880714,10.044811055880714,,,,,,0,,
57,Stamped Cards,Special Services,2008,0.98749,1.3644528892517942,1.3644528892517942,,,,,,0,,
58,Other Domestic Ancillary Services,Special Services,2008,734.4717539999999,533.6674621691984,533.3914621691985,0.276,,,,,1208209.829,,
108,Total Domestic Ancillary Services,Special Services,2008,1686.302849,1356.0782198969837,1355.7282198969838,0.35,,,,,1533738.369,,
109,Total International Ancillary Services,Special Services,2008,29.054419000000003,62.727673269849376,62.727673269849376,,,,,,16466.812,,
73,Money Orders,Special Services,2008,223.336366,152.77460484707774,149.94636684707774,2.828238,1.4976491575103599,1.0244760507932869,0.473173106717073,1.46186839248285,149124.623,,
74,Post Office Box Service,Special Services,2008,896.656469,640.2829912507683,639.9634829107683,0.31950834,,,,,0,,
76,Other Special Services,Special Services,2008,0.191,5.147122243775213,5.147122243775213,0,,,,1.4033791197417802,139,,
91,Total Special Services (Domestic),Summary,2008,2835.541103,2217.0106115084545,2213.5128651684545,3.49774634,,,,,1699468.804,,
3,Single Piece Letters,First Class,2009,13298.977063999999,7902.016361397862,7891.702361397863,10.314,0.44305607632321875,0.26325606452845407,0.17980001179476468,1.6829852604414777,30016464.675,912863.851,0.4865936669805369
4,Single Piece Cards,First Class,2009,454.533625,440.0029366301319,439.4479366301319,0.555,0.28113944583932626,0.2721518826508632,0.008987563188463055,1.0330240713417844,1616755.072,10348.311,0.10241067361871867
5,Total Single Piece Letters and Cards,First Class,2009,13753.510688999999,8342.019298027993,8331.150298027995,10.869,0.4347806135132463,0.26371072450881716,0.17106988900442915,1.6487028137481357,31633219.747,923212.162,0.46695830238402697
8,Presort Letters,First Class,2009,15615.862781,5366.240834179312,5350.741834179312,15.499,0.3485084579224549,0.11976157476459194,0.22874688315786296,2.9100189990612333,44807701.007,1874580.676,0.6693780341757404
9,Presort Cards,First Class,2009,666.223915,240.95568788529647,239.8816878852965,1.074,0.2131223749339078,0.07708076413910751,0.13604161079480026,2.7649229650770746,3126015.817,25335.121,0.12967366761087634
10,Total Presort Letters and Cards,First Class,2009,16282.086696,5607.196522064608,5590.623522064608,16.573,0.3396792023406726,0.1169781292498714,0.22270107309080123,2.903783848475642,47933716.824,1912252.797,0.6343095734965195
14,Flats,First Class,2009,3539.891995,2157.5097200805053,2156.524720080505,0.985,1.2357819192272548,0.753190070883093,0.4825918483441618,1.6407304968563077,2864495.701,597233.4909999999,3.335922568382308
19,Parcels,First Class,2009,1113.757996,1095.1752011517642,1094.4702011517643,0.705,1.9175425701509297,1.885548815383872,0.03199375476705768,1.016967874024807,580825.6950000001,189711.124,5.225970562476578
127,First Class NSAs Domestic,First Class,2009,99.036419,38.285,35.364934,2.920066,0.3285051513221616,0.12699186668258833,0.2015132846395733,2.5868203996343215,301476,12337,0.6547519537210259
101,Outbound Single Piece Mail International,First Class,2009,756.357197,468.13410102627125,468.13410102627125,0,1.6570475903980815,1.0256007177105697,0.6314468726875118,1.6156848974297515,456448.68704000005,55791.415088184,1.955669206104469
102,Inbound Single Piece Mail International,First Class,2009,161.35364199999992,266.6239586843889,266.6239586843889,0,0.36675033391591716,0.606025526696716,-0.2392751927807989,0.6051730789542409,439954.9968426003,95104.60062371,3.458702869384067
80,Total First Class (Domestic),Summary,2009,35872.755896999995,17974.94380103553,17942.891735035533,32.052065999999996,0.42599094239366814,0.21345344280941378,0.21253749958425436,1.9957089320598251,84210137.6508826,3690537.9890881837,0.7012054542674419
21,High Density and Saturation Letters,Marketing Mail,2009,681.945699,318.1518514898818,317.7818514898818,0.37,0.13409896941276542,0.06256192459915542,0.07153704481360999,2.1434597843969736,5085391.051,228547.848,0.7190726399066061
22,High Density and Saturation Flats and Parcels,Marketing Mail,2009,1971.81646,825.6419543656971,824.7429543656971,0.899,0.15957302853298705,0.0668166585555476,0.09275636997743945,2.3882222185703443,12356827.956,2174818.618,2.816021879717429
23,Carrier Route,Marketing Mail,2009,2271.9090039999996,1578.3228802029168,1577.6016692029168,0.7212109999999999,0.230526175524292,0.1601269602007585,0.07039921532353349,1.4396462359322302,9856741.061999999,1993434.905,3.2395301818762645
25,Letters,Marketing Mail,2009,8709.489809,5032.818676898334,5029.407676898334,3.411,0.18849102539425677,0.10885722417987198,0.07963380121438479,1.731543559137615,46223874.831,2585932.247,0.8899277224035684
26,Flats,Marketing Mail,2009,2865.9858390000004,3488.2535818524448,3487.684581852445,0.569,0.3676272700531763,0.4475174171561414,-0.0798901471029651,0.8214814797362603,7793510.893,1963766.023,4.030436844030768
27,Parcels,Marketing Mail,2009,631.8975300000001,840.0006868477528,839.9026868477529,0.098,0.9305728007383962,1.2370388467606286,-0.3064660460222324,0.7522583491821946,679041.478,305919.65,7.208270125731554
139,Marketing Mail NSA Domestic,Marketing Mail,2009,142.262201,88.774,85.194066,3.579934,0.2003200875660946,0.12500309519035546,0.07531699237573913,1.6025210196679207,710174.415,37023,0.8341162219987888
135,Marketing Mail NSA International,Marketing Mail,2009,,,,,,,,,649,160,3.9445300462249615
81,Total Marketing Mail (Domestic),Summary,2009,17363.725193,12171.963631657025,12162.315486657028,9.648145,0.2099462821971167,0.14712895910018142,0.06281732309693527,1.4269541732716426,82706210.68600002,9289602.291000001,1.797111024048091
31,In County,Periodicals,2009,90.615809,105.05217055625623,105.05217055625623,0,0.10545693038400314,0.12225768946166489,-0.01680075907766175,0.8625791215943943,859268.411,267225.951,4.975878504627119
32,Outside County,Periodicals,2009,1932.085008,2574.931010774408,2574.931010774408,0,0.27233766209745247,0.3629502266375086,-0.09061256454005612,0.7503443781272132,7094446.626,2765136.01,6.236170133109406
82,Total Periodicals (Domestic),Summary,2009,2038.144039,2679.9831813306646,2679.9831813306646,0,0.2562505734136474,0.3369473471030345,-0.0806967736893871,0.7605062797401667,7953715.0370000005,3032361.9609999997,6.100016300596563
41,Single Piece Parcel Post,Package Services,2009,699.269373,761.3084209958824,761.3084209958824,0,8.663311572928226,9.43191895547432,-0.7686073825460937,0.9185099674653172,80716.175,444397.192,88.0908327482069
123,Inbound Surface Parcel Post (at UPU Rates),Package Services,2009,12.879785999999998,12.254297980994219,12.254297980994219,0,14.663564648837081,13.951450021795585,0.7121146270414958,1.0510423379597817,878.3530000000001,15109.663889468,2.9951199029375215
