product_id,fy,volume,revenue,attributable_cost,volume_variable_cost,product_specific_cost,weight
44,2009,140138772.0,397398029.0,472361135.0,472361135.0,,314553264.0
265,2009,731155337.0,1682577458.0,1735912512.0,1735912512.0,,1887127359.889468
85,2009,454864854.0,,,,,126141454.0
86,2009,61958282.0,,54158424.0,54158424.0,,30243412.0
51,2009,266490764.0,729813026.0,659479507.0,659464507.0,15000.0,
52,2009,1015205.0,7564147.0,6596176.0,6596176.0,,
54,2009,43767420.0,129069205.0,116869295.0,116867295.0,2000.0,
55,2009,3181977.0,49905881.0,50585583.0,50585583.0,,
58,2009,1301738567.0,751479542.0,519706842.0,519633842.0,73000.0,
109,2009,16891052.0,25645056.0,37409858.0,37409858.0,,
73,2009,135039460.0,191100000.0,146134926.0,143035932.0,3098994.0,
266,2009,1768124445.0,2825196797.0,2213469746.0,2206291154.0,7178592.0,
131,2009,47015273.0,884571111.0,553312001.0,544373210.0,8938791.0,44914777.0
132,2009,790069671.0,5362466262.0,4123864014.0,4059103611.0,64760402.0,1634451697.0
255,2009,241186127.0,515033951.0,430214714.0,430107797.0,100000.0,908804894.0
256,2009,321199607.0,,,,,278820874.013944
254,2009,1400697852.0,8132786175.0,6174755385.0,6093412453.0,81342932.0,2866992242.013943
3,2010,27147918293.0,12339555160.0,7376828271.0,7354368770.0,22459501.0,847776797.0
4,2010,1436993692.0,413216238.0,398613759.0,397424932.0,1188827.0,9183251.0
5,2010,28584911985.0,12752771398.0,7775442030.0,7751793702.0,23648328.0,856960048.0
8,2010,43293820685.0,15345136872.0,5161838861.0,5157781783.0,4057078.0,2048445808.0
9,2010,2931565187.0,630208763.0,237007727.0,236733009.0,274718.0,23923312.0
10,2010,46225385872.0,15975345635.0,5398846589.0,5394514793.0,4331796.0,2072369120.0
14,2010,2483991704.0,3117723579.0,2147953273.0,2146390146.0,1563127.0,515683165.0
19,2010,574428826.0,1131180789.0,1132418206.0,1132417239.0,967.0,190876235.0
101,2010,334404183.0,689909143.0,362959119.0,362335790.0,623329.0,60529407.255718
102,2010,346070796.0,204496097.0,257790012.0,257144936.0,645076.0,79249603.434394
262,2010,78549193366.0,34025475547.0,17075409228.0,17044596605.0,30812623.0,3775667578.690111
21,2010,5428042527.0,736917389.0,348527524.0,347708611.0,818913.0,238323200.0
22,2010,11363444416.0,1848254859.0,825826991.0,824112623.0,1714368.0,2121947471.0
23,2010,9428282942.0,2222971551.0,1559827920.0,1558398664.0,1429256.0,1991215832.0
25,2010,48301094047.0,9204686883.0,5106086248.0,5098767906.0,7318342.0,2890277098.0
26,2010,7049230266.0,2579363420.0,3161327019.0,3160260743.0,1066276.0,1773809349.0
27,2010,682403363.0,602318108.0,780156163.0,780116010.0,40153.0,302311204.0
139,2010,271249607.0,58452968.0,36610584.0,36610584.0,,27485103.0
263,2010,82523747168.0,17330408933.0,11818362450.0,11805975142.0,12387308.0,9345369257.0
31,2010,695455322.0,73113205.0,98495327.0,98454309.0,41018.0,203858225.0
32,2010,6574014264.0,1793301865.0,2391342937.0,2390955200.0,387737.0,2574114051.0
264,2010,7269469586.0,1878834624.0,2489838263.0,2489409508.0,428755.0,2777972276.0
41,2010,61408341.0,614936820.0,748868593.0,748868593.0,,405953789.0
123,2010,1088839.0,17028995.0,11460228.0,11460228.0,,19142396.582998
42,2010,229751608.0,190409094.0,129358248.0,129358248.0,,320168096.0
43,2010,244735541.0,321564284.0,349249071.0,349249071.0,,679753772.0
44,2010,122322100.0,368766428.0,458551368.0,458551368.0,,284889343.0
265,2010,659306429.0,1515503219.0,1697487507.0,1697487507.0,,1709907396.582998
136,2010,1142651.0,625429.0,162000.0,162000.0,,286558.0
85,2010,431206015.0,,,,,131446673.0
86,2010,67214168.0,,66303272.0,66303272.0,,31048164.0
51,2010,268724724.0,752429224.0,634691242.0,634691242.0,,
52,2010,834483.0,6522005.0,8245738.0,8245738.0,,
54,2010,39146196.0,125567053.0,98623510.0,98623510.0,,
55,2010,2966550.0,47805705.0,42566649.0,42566649.0,,
